County,FIPS,TYPE,e-2,b-2,d-2,e-5,b-5,d-5,e-10,b-10,d-10,e-25,b-25,d-25,e-50,b-50,d-50,e-100,b-100,d-100,e-1000,b-1000,d-1000
NUECES-Zone-1,48355,SSQ,0.831983568,69.99965887,13.97834682,0.798967352,79.23705818,12.98042457,0.781609353,87.13015699,12.57212063,0.763304297,98.01716437,12.26718383,0.750850161,105.9781861,12.06775765,0.739773753,114.6061973,12.09527505,0.722618317,140.7956959,13.32444843
OCHILTREE-Zone-1,48357,SSQ,0.824918199,41.47241008,9.504249371,0.826516376,56.63907314,9.808174435,0.826942368,68.06639963,9.956039292,0.82681916,83.0711638,10.09627486,0.826372833,94.21662417,10.16430699,0.825644405,105.5006131,10.2409265,0.823505349,133.2762982,10.50994696
OLDHAM-Zone-1,48359,SSQ,0.829404228,38.84866899,8.454073429,0.830540589,53.38668456,8.714255403,0.831127142,64.72273109,8.935605447,0.831735605,80.31306862,9.28240033,0.832132001,92.52191596,9.605336881,0.832610201,105.6479173,9.952703489,0.834053892,140.6069613,10.64485854
ORANGE-Zone-1,48361,SSQ,0.78823283,63.40420475,12.60074807,0.763024131,76.0150892,12.78917629,0.745336031,83.84978789,12.77744677,0.722477041,92.15732904,12.70954547,0.703610077,95.87822718,12.5106347,0.685137575,99.46330624,12.43395277,0.656337665,117.0839423,13.65598872
PALO PINTO-Zone-1,48363,SSQ,0.790138001,42.69111382,9.56861488,0.782941757,54.79908213,9.563051049,0.778237667,63.79433348,9.627572277,0.772078825,75.36503643,9.789173348,0.767586303,83.92743769,10.00004354,0.762285238,92.13542487,10.18902462,0.747065461,109.4458606,10.25309173
PANOLA-Zone-1,48365,SSQ,0.794075292,52.8273443,11.418545,0.780166699,64.56282234,11.40871576,0.771165437,73.14679173,11.44377982,0.759908163,84.02414305,11.54231614,0.750331319,91.10983705,11.53540913,0.742518184,99.20747753,11.79321645,0.738815484,129.7316865,14.11582494
PARKER-Zone-1,48367,SSQ,0.780192564,41.67557262,9.500042165,0.773457066,53.27053184,9.327718559,0.769758882,62.17514416,9.306162725,0.765668708,74.13351499,9.372871102,0.763299778,83.54087332,9.511394146,0.760280307,92.76292982,9.640066181,0.749637908,111.683903,9.657200668
PARMER-Zone-1,48369,SSQ,0.817291995,36.24013402,8.469742705,0.819650282,50.2227828,8.423515275,0.820764211,61.16127565,8.433895745,0.821801335,76.27212461,8.487688733,0.822198226,88.06439895,8.533272347,0.822861944,100.9094434,8.634520266,0.826175671,136.4663858,9.106833567
PECOS-Zone-1,48371,SSQ,0.85703875,43.84615453,9.855920452,0.848813153,57.90495398,9.567877047,0.842299638,67.42702733,9.319732455,0.832380374,78.09653884,8.932869805,0.823983945,84.62865962,8.583290438,0.814579858,89.88676868,8.230066958,0.792487619,99.66786679,7.57925247
PECOS-Zone-2,48371,SSQ,0.867266507,48.94527235,10.75494949,0.850738269,61.91074734,10.31793834,0.839423064,70.39492643,10.01975654,0.823816698,79.36148202,9.629804051,0.811239338,84.30396386,9.309840883,0.797478044,87.84927962,8.975488114,0.765588691,93.97581777,8.282811519
PECOS-Zone-3,48371,SSQ,0.86190576,51.01763489,11.12127417,0.844445551,64.37197351,10.78395352,0.832636558,73.27030904,10.56434195,0.816730541,83.04504401,10.29593937,0.804141196,88.77800141,10.08474116,0.790251427,93.16486914,9.859936214,0.757261017,101.0551609,9.359280023
POLK-Zone-1,48373,SSQ,0.803591551,60.74338413,12.27618202,0.785527543,73.88317961,11.98954932,0.774963669,83.79449086,11.8558567,0.762811414,96.77109062,11.74195789,0.753588661,105.8926162,11.60398634,0.745523524,115.7959519,11.64508076,0.735797701,146.9426848,12.82972003
